Party and Electorate Candidate Votes Recorded at each Voting Place
Ikaroa-Rāwhiti 67,Candidate Vote Details
,,"TANGAERE-MANUEL, Cushla","TUHAKARAINA, Ueraata Butch-Keegan","WHAITIRI, Meka",Total Valid Candidate Votes,Informal Candidate Votes
Avalon,"Avalon Intermediate School Hall, 1041 High Street",21,1,16,38,2
,"Avalon Public Hall, 14 Mabey Road",5,0,4,9,1
,"Avalon School Hall, 10 Gordon Street",11,0,4,15,0
Birchville,"Birchville School Hall, 16 Gemstone Drive",10,4,10,24,0
Brown Owl,"Chanel Family Centre, 1285 Fergusson Drive",12,5,14,31,0
Clouston Park,"St Hilda's Church Hall, 35 Cruickshank Road",9,0,5,14,0
Ebdentown,"Oxford Crescent School Hall, 5 Oxford Crescent",10,0,9,19,0
Elderslea,"Fraser Crescent School Hall, 16 Redwood Street",25,1,16,42,1
Heretaunga,"St Brendan's School Hall, 56 Palmer Crescent",17,2,3,22,0
Maidstone,"Happy Days Childcare, Brewtown, next to Fermented, Unit 24B/44 Blenheim Street",2,1,4,7,0
Maoribank,"Te Kura o Hau Karetu - Maoribank School Hall, 32 Hillside Drive",21,0,22,43,1
Naenae,"Naenae Primary School Hall, 27 Wheatley Street",30,7,23,60,1
,"Rātā Street School Hall, 73 Rata Street",26,2,27,55,4
,"Treadwell Street Hall, 25A Treadwell Street",25,0,20,45,1
Pinehaven,"Pinehaven Community Hall, 5A Forest Road",7,0,5,12,1
Riverstone Terraces,"Garage of Private House, 1 Betty Watt Grove",4,0,6,10,0
Silverstream,"Silverstream School, 1 Whitemans Road",10,2,13,25,0
Stokes Valley,"Koraunui Marae Hall, 146 Stokes Valley Road",52,5,46,103,4
,"Koraunui School Hall, 17 Kairimu Street",22,1,34,57,2
,"Tawhai School Hall, 69 Glen Road",17,0,15,32,1
Taitā,"Pomare School Hall, 4 Partridge Street",15,2,13,30,2
,"Walter Nash Centre, 26 Taine Street",23,4,27,54,0
Te Mārua,"Plateau School, 12A Molloys Road",7,0,11,18,1
Totara Park,"Totara Park School Hall, 16 California Drive",27,0,19,46,0
Trentham,"Trentham School Hall, 2 Moonshine Road",15,3,16,34,2
,"Upper Hutt Baptist Church, 1 Milton Street",22,0,13,35,1
Upper Hutt Central,"St Joseph's Scout Hall, 46 Royal Street",3,0,8,11,1
,"The Mall, former t&t shop, Ground Floor next to Farmers, 205 Main Street",41,4,42,87,3
Wallaceville,"Heretaunga College Hall, 38 Ward Street",26,1,16,43,1
Tukituki
Akina,"Hastings Central School Gymnasium, 400 Karamu Road South",50,3,22,75,0
,"Hastings Christian School, 1009 Copeland Road",23,4,31,58,2
,"St Joseph's School Hall, 404 Eastbourne Street East",14,3,20,37,5
Bridge Pa,"Bridge Pa School, 1642 Maraekakaho Road",24,2,45,71,1
Camberley,"Camberley Community Centre, 703 Kiwi Street",41,1,44,86,2
Clive,"Clive Community Hall, 162 Main Road",42,4,38,84,4
Flaxmere,"Flaxmere Christian Fellowship Church, 220 Flaxmere Avenue",33,6,40,79,3
,"Flaxmere Community Centre, 30 Swansea Road",88,3,84,175,5
,"Flaxmere Primary School Hall, 12 Whitby Crescent",52,7,53,112,5
,"Flaxmere Rugby and Sports Club, 280 Portsmouth Road",25,0,25,50,0
,"Peterhead ""Te Whai Hiringa"" School Hall, 10 Peterhead Avenue",50,3,45,98,6
,"Te Kura o Kimi Ora Hall, Tarbet Street",31,0,25,56,3
Frimley,"Frimley School Hall, 202 Frimley Road",33,2,22,57,2
Hastings,"Hastings Sports Centre, 503 Railway Road",30,2,36,68,3
Haumoana,"Haumoana School Hall, 7 Raymond Road",8,3,5,16,1
Havelock North,"Havelock North Function Centre, 30 Te Mata Road",18,5,17,40,1
,"Havelock North High School Gymnasium, 177 Te Mata Road",6,2,4,12,0
,"Havelock North Primary School Hall, 9 Campbell Street",10,0,3,13,0
,"Havelock North Wanderers Football Club, 54 Brookvale Road",1,1,4,6,2
,"Lucknow School Hall, 42 Elliott Crescent",27,1,12,40,1
Mahora,"Aubyn Live Theatre, 815 St Aubyn Street West",14,4,32,50,1
,"Mahora School, 710 Frederick Street",53,1,46,100,4
Mangateretere,"Mangateretere School Hall, 314 State Highway 51",26,2,24,52,1
Maraekakaho,"Maraekakaho School, 68 Kereru Road",3,0,3,6,0
Mayfair,"Karamu High School Hall, 1036 Windsor Avenue",27,0,32,59,2
,"Mayfair School Hall, 1110 Willowpark Road North",30,3,35,68,3
Omahu,"Omahu Marae Wharekai, 1857 Korokipo Road",47,1,30,78,0
Ōtāne,"Otane Hall, 27 Higginson Street",27,1,25,53,2
Pakipaki,"Te Kura o Pakipaki, 314 Pakipaki Road",21,1,23,45,1
Parkvale,"Te Wananga Whare Tapere o Takitimu, 706 Albert Street",22,1,27,50,0
Poukawa,"Poukawa School Hall, 107 Poukawa Road",10,1,2,13,0
Pukehamoamoa,"Pukehamoamoa School, 11 Matapiro Road",5,0,1,6,0
Pukehou,"Pukehou School, Kahu Room, 174 State Highway 2",9,0,13,22,0
Raureka,"Ebbett Park School Hall, 600 Oliphant Road",23,3,17,43,1
,"Raureka School Hall, 916 Gordon Road",28,7,31,66,4
St Leonards,"St John Hastings Ambulance Hall, 107 Southland Road",21,0,24,45,0
Taken in Tukituki,"Pop-up Voting Services - Team 1, Various Locations",24,3,21,48,1
Te Awanga,"Te Awanga Community Centre, 9 Wellwood Terrace",12,1,9,22,0
Tikokino,"Tikokino School, 43 Owen Street",7,1,4,12,0
Twyford,"Twyford & Raupare Memorial Hall, next to Twyford School, 160 Thompson Road",2,1,4,7,0
Waimārama,"Waimarama School, 27 Taupunga Road",25,0,22,47,2
Wairarapa
Carterton,"Carterton Playcentre, 188 Belvedere Road, access from Howard Booth Park carpark",4,0,8,12,0
,"Carterton School Hall, (corner Holloway Street & Dixon Street)",7,1,10,18,0
,"South End School Hall, 275 High Street South",16,1,15,32,1
Dannevirke,"Dannevirke South School Hall, (corner Stairs Street & Hunter Street)",6,4,12,22,0
,"Huia Range School Hall, 2 Cole Street",16,2,7,25,3
,"The Hub, 23 Gordon Street, access from Allardice Street carpark",31,2,37,70,3
Eketāhuna,"Eketāhuna Community Centre, 4 Haswell Street",6,1,8,15,0
Featherston,"Anzac Hall, Supper Room, 62-64 Bell Street",3,2,7,12,1
,"Featherston School Hall, (corner Lyon Street & Revans Street)",8,1,3,12,0
Gladstone,"Gladstone School Hall, 1471 Te Whiti Road",0,0,6,6,0
Greytown,"Greytown School Hall, 73 East Street",8,0,7,15,0
Martinborough,"Martinborough School Hall, 14-16 Dublin Street",11,1,14,26,0
Masterton,"Douglas Park School Hall, 136 Cole Street",17,2,21,40,0
,"Fernridge School Hall, 264 Upper Plain Road",5,1,4,10,0
,"Lakeview School Hall, (corner Te Ore Ore Road & Colombo Road)",18,7,27,52,0
,"Masterton Intermediate School Hall, 38 Intermediate Street",12,1,24,37,0
,"Masterton Primary School Hall, 53 South Road",13,1,8,22,1
,"Prefab between Masterton Library and Supercheap, 44 Queen Street",22,1,20,43,1
,"Senior Citizens Hall, 8 Cole Street",15,1,7,23,1
,"Solway School Hall, 318 Ngaumutawa Road",15,1,10,26,1
,"Te Kura Kaupapa Māori o Wairarapa Hall, 37 Johnstone Street",38,3,36,77,3
,"War Memorial Stadium Foyer, Recreation Centre, 2 Dixon Street",9,2,19,30,2
