Party and Electorate Candidate Votes Recorded at each Voting Place
Waiariki 72,Candidate Vote Details
,,"BOYNTON, Toni Olivia","HUNIA, Charles Tiki","WAITITI, Rawiri",Total Valid Candidate Votes,Informal Candidate Votes
,"Waimana School, 6 Raroa Road",30,1,59,90,3
Whakatāne,"Allandale School, 167 King Street",31,10,89,130,3
,"Awakeri School, 974 State Highway 30",12,1,28,41,0
,"Te Kura Kaupapa Māori o Te Orini ki Ngati Awa, 33 Meadow Vale",22,4,40,66,0
,"Whakatāne High School, 56 Goulstone Road",14,1,51,66,0
,"Whakatane Intermediate School, 101 James Street",33,11,59,103,3
,"Whakatāne War Memorial Hall, 7 Short Street",91,16,242,349,7
Napier
Tuai,"Tuai Public Hall, (corner Main Road & Waikare-Taheke Street)",14,0,32,46,0
Rotorua
Broadlands,"Broadlands School Hall, 2986 Broadlands Road",1,0,10,11,2
Fenton Park,"Fenton Park Bible Church, (corner Hilda Street & Ward Avenue)",14,1,59,74,2
Fordlands,"Fordlands Community Centre, 48 Bellingham Crescent",36,3,100,139,9
Glenholme,"Glenholme School Hall, 149 Ranolf Street",29,2,70,101,1
Hamurana,"Hamurana Playcentre, 38 Tauranga Direct Road",3,1,14,18,0
Horohoro,"Horohoro School, 69 Apirana Road",0,0,20,20,1
Kaingaroa Forest,"Kaingaroa Forest Village Incorporated, Dunn Road",26,1,38,65,1
Kawaha Point,"Kawaha Point Primary School, 72-100 Aquarius Drive",16,8,55,79,3
Koutu,"Te Kura Kaupapa Māori o Te Koutu, 41 Russell Road",12,4,60,76,0
,"Tumahaurangi Marae, 38 Koutu Road",29,2,151,182,0
Lake Rotoma,"Rotoma and Rotoehu Community Hall, 167 State Highway 30",3,3,17,23,2
Lynmore,"Lynmore Primary School Hall, 1 Iles Road",3,0,38,41,2
,"Lynmore Scout Hall, 53B Lewis Road",3,3,10,16,1
,"Redwood Shopping Centre, Palazzo Kitchens, Shop 5, 5 Tarawera Road",20,7,59,86,3
Mamaku,"Mamaku School Hall, 54 Tarena Street",7,1,19,27,1
Ngakuru,"Ngakuru Hall, 939 Whirinaki Valley Road",2,3,7,12,1
Ngāpuna,"Hinemihi Marae, 23 Hona Road",8,1,65,74,2
Ngongotahā,"Ngongotaha Community Hall, 5 School Road",30,7,123,160,4
Ohinemutu,"Tūnohopū Marae, Tunohopu Street",12,0,48,60,2
Okere Falls,"Whangamarino School, 637 State Highway 33",11,1,49,61,1
Ōwhata,"Ōwhata Primary School Hall, 29-37 Brent Road",19,3,68,90,4
,"Rotokawa School Hall, 6 Rotokawa Road",11,2,58,71,3
,"St Mark's Anglican Church, (corner Sunrise Avenue & Te Ngae Road)",22,6,108,136,4
Pomare,"Westbrook Primary School Hall, 362 Malfroy Road",17,7,91,115,6
Pukehangi,"Aorangi Primary School Hall, 3 -13 Gem Street",53,11,172,236,4
Reporoa,"Mihi School Hall, 76 Springs Road",1,0,5,6,2
,"Reporoa Settlers Hall, 3834 Broadlands Road",15,1,18,34,1
Rerewhakaaitu,"Lake Rerewhakaaitu School Hall, 3 Ash Pit Road",0,1,8,9,0
Rotoiti Forest,"Te Puna Whakareia Marae, 1270 State Highway 30",20,1,68,89,0
Rotorua,"Rotorua Central Mall, Centre Court, 1170 Amohau Street",33,5,139,177,4
,"Rotorua Primary School Hall, 1249 Arawa Street",9,1,52,62,5
,"Te Manawa Shop, former Stevens, 1241 Tutanekai Street",15,3,68,86,2
Selwyn Heights,"Selwyn Primary School Hall, 17 Old Quarry Road",40,7,156,203,9
Springfield,"Otonga Road Primary School Hall, 105 Otonga Road",15,5,59,79,5
Te Puke,"Fairhaven School Hall, 120 Boucher Avenue",2,2,19,23,1
,"Te Puke High School Hall, 19 Tui Street",6,1,26,33,2
,"Te Puke War Memorial Hall, 130 Jellicoe Street",37,10,125,172,2
Utuhina,"Malfroy Primary School Hall, 196 Malfroy Road",25,4,93,122,2
Waitangi,"Te Kura Kaupapa Māori o Te Matai, 1327A Te Puke Highway",8,2,39,49,0
Whakarewarewa,"Whakarewarewa School Hall, 63 Sala Street",9,1,35,45,0
Taupō
Acacia Bay,"Acacia Bay Community Hall, 1 Wakeman Road",0,0,10,10,0
Kinloch,"Kinloch Village Golf Club, 88 Kinloch Road",1,0,5,6,4
Motuoapa,"Motuoapa Fishing and Boating Association, 2 Arataha Street",0,2,7,9,2
Omori,"Omori Community Hall, 220 Omori Road",0,0,9,9,0
Taupō,"Hilltop School, 90 Rokino Road",3,1,15,19,1
,"Mountview School, 31 Rangatira Street",16,2,55,73,2
,"St Patricks School, 86 Acacia Bay Road",8,2,22,32,1
,"Tauhara College, 101 Invergarry Road",14,1,20,35,0
,"Taupō Baptist Church Hall, (corner Rifle Range Road & Taupo View Road)",14,5,53,72,1
,"Taupo-nui-a-Tia College, 122 Spa Road",14,3,58,75,2
,"Taupō Primary School, (corner Tamamutu Street & Ruapehu Street)",17,1,54,72,1
,"Taupō Youth Arts Centre, 98 Richmond Avenue",5,0,14,19,1
,"Waipahihi School, 20 Parata Street",3,1,14,18,0
Tūrangi,"Te Kura o Hirangi, 29 Mawake Place",15,0,83,98,0
,"Tongariro Senior Citizens Hall, 83 The Town Centre",88,5,318,411,6
Wairakei Village,"Wairakei School, 2 Kauri Drive",4,0,20,24,2
Waitahanui,"Te Kura o Waitahanui, 107 State Highway 1",6,0,42,48,3
Tauranga
Bethlehem,"Bethlehem Primary School Hall, 66 Carmichael Road",6,0,30,36,1
,"Bethlehem Tertiary Institute, 24 Elder Lane",1,0,6,7,0
,"Bethlehem Town Centre, former Wild South, 19 Bethlehem Road",7,3,50,60,1
Brookfield,"Te Kura o Manunui - Brookfield School, 20 Millers Road",12,4,70,86,3
Bureta,"St John's Anglican Church, 94 Bureta Road",5,0,15,20,0
Gate Pa,"Tauranga Girls' College, 904 Cameron Road",6,1,47,54,1
Greerton,"Greerton Community Hall, 1247 Cameron Road",17,6,64,87,2
Matua,"Matua Community Hall, 124 Levers Road",2,1,22,25,0
Mount Maunganui,"Mount Maunganui College, 565 Maunganui Road",5,0,22,27,1
,"Mount Maunganui Primary School, 13 Orkney Road",4,1,16,21,0
,"Mount Maunganui Senior Citizens' Hall, 345 Maunganui Road",4,4,23,31,1
Otūmoetai,"Ōtūmoetai Intermediate School, 5 Charles Street",4,0,24,28,0
,"Ōtūmoetai Primary School, 236 Otumoetai Road",7,2,17,26,2
,"St Columba Church Hall, 502 Otumoetai Road",3,0,20,23,1
Parkvale,"Fraser Cove, former Number One Shoes, 241 Fraser Street",11,3,65,79,1
,"Merivale Action Centre, 25 Kesteven Avenue",16,2,38,56,0
Pyes Pa,"Aquinas College, 183 Pyes Pa Road",10,3,24,37,1
Tauranga,"Shop next to Books A Plenty, 74 Grey Street",1,2,18,21,0
,"Tauranga Primary School Hall, 31 Fifth Avenue",8,2,24,34,2
Tauranga South,"Central Baptist Church Hall, (corner Cameron Road & Thirteenth Avenue)",12,2,15,29,1
Tauriko,"Tauranga Crossing, first floor next to H&M, 2 Taurikura Drive",11,5,31,47,0

,Overseas Special Votes Including Defence Force - Waiariki,46,30,432,508,6
,Special Votes BEFORE Polling Day - Waiariki,632,112,2829,3573,124
,Special Votes ON Polling Day - Waiariki,511,77,2323,2911,104
,Voting places where less than 6 votes were taken,15,7,39,61,3

,Waiariki Total,5609,1067,21500,28176,782

,Valid Candidate Votes plus Informal Candidate Votes,,28958

Electorate Candidate Valid Votes,Party,,,"WAITITI, Rawiri - majority 15891"
"BOYNTON, Toni Olivia",Labour Party,5609,19.91
"HUNIA, Charles Tiki",Vision New Zealand,1067,3.79
"WAITITI, Rawiri",Te Pāti Māori,21500,76.31
