Party and Electorate Candidate Votes Recorded at each Voting Place
Hauraki-Waikato 66,Candidate Vote Details
,,"MAHUTA, Nanaia Cybele","MAIPI-CLARKE, Hana-Rawhiti","POKERE-PHILLIPS, Donna",Total Valid Candidate Votes,Informal Candidate Votes
,"Waiuku College, 43 Constable Road",3,13,4,20,0
,"Waiuku Netball Centre, Kitchener Road",24,22,4,50,6
,"Waiuku Primary School, George Street",16,13,3,32,2
Takanini
Takanini,"Takaanini Library and Community Hub - Te Wao Nui a Tane, 30 Walters Road",5,8,2,15,0
,"Takanini Hall, 8 Takanini Road",3,5,0,8,1
Taranaki-King Country
Glen Massey,"Glen Massey School, 897 Waingaro Road",6,6,0,12,1
Horotiu,"Horotiu School, 89 Horotiu Bridge Road",13,10,4,27,2
Kawhia,"Kawhia Community Hall, 141 Jervois Street",32,24,5,61,2
Kihikihi,"Kihikihi Town Hall, 26 Lyon Street",26,37,8,71,2
Koromatua,"Koromatua School, 355 Koromatua Road",6,10,0,16,1
Ngāhinapōuri,"Ngahinapouri Hall, 1185 Kakaramea Road",3,7,3,13,1
Paterangi,"Paterangi School, 1326 Paterangi Road",2,4,0,6,1
Pirongia,"Pirongia School, 100 Beechey Street",4,6,3,13,1
Raglan,"Raglan Town Hall, 41 Bow Street",33,51,3,87,2
Rotokauri,"Rotokauri School, 462 Rotokauri Road",5,4,2,11,1
Rukuhia,"Rukuhia School Community Hall, 58 Rukuhia Road",4,1,3,8,0
Te Awamutu,"PAK'nSAVE Te Awamutu, 670 Cambridge Road",19,28,7,54,3
,"Pekapekarau School, 742 Te Rahu Road",11,7,0,18,2
,"Te Awamutu College Hall, 938 Alexandra Street",15,26,2,43,0
,"Te Awamutu Intermediate School, 646 Hazelmere Crescent",4,4,2,10,0
,"Te Awamutu Primary School, 401 Teasdale Street",14,13,2,29,2
,"Te Awamutu Scout Hall, 11 Scout Lane",18,36,2,56,1
Te Kowhai,"Te Kowhai School, 605 Horotiu Road",3,6,2,11,0
Te Mata,"Te Mata School, 778 Te Mata Road",5,4,0,9,0
Te Pahu,"Te Pahu School, 671 Te Pahu Road",6,4,0,10,1
Te Uku,"Te Uku School Hall, 3436 State Highway 23",4,14,2,20,0
Waitetuna,"Waitetuna School, 129 Waitetuna Valley Road",3,4,2,9,0
Whatawhata,"Whatawhata School, 9 Kura Street",22,28,4,54,1
Taupō
Cambridge,"Cambridge East School, (corner Bowen Street & Williams Street)",11,9,2,22,0
,"Cambridge High School, 25 Swayne Road",1,7,2,10,2
,"Cambridge Middle School, (corner Clare Street & Grey Street)",5,5,2,12,1
,"Cambridge Primary School, 3 Wilson Street",6,3,1,10,1
,"Cambridge Town Hall, Victoria Room, (corner Queen Street & Victoria Street)",8,11,2,21,1
,"Leamington Primary School, (corner Lamb Street & Scott Street)",16,11,3,30,2
,"Raleigh Street Christian Centre, 24 Raleigh Street",20,20,3,43,0
Waikato
Gordonton,"Gordonton School, 50 Woodlands Road",5,3,1,9,0
Horsham Downs,"Horsham Downs School, 4 Martin Lane",0,6,1,7,0
Huntly,"Huntly Primary School, 25 Onslow Street",10,14,1,25,0
,"Huntly Town Centre, former ANZ Bank, 127 Main Street",50,57,11,118,3
,"Huntly West Primary School, Paki Street",30,26,3,59,1
,"Kimihia School, 3 Tamihana Avenue",9,15,1,25,0
,"Ruawaro Combined School, 76 Bain Road",0,5,1,6,0
Huntly West,"Te Wharekura o Rakaumanga, Library, 26 McDiarmid Crescent",21,31,0,52,0
Matamata,"Matamata Headon Events Centre, 47 Western Street",10,8,3,21,5
,"Matamata Primary School, 115A Broadway",8,20,1,29,0
,"Matamata St John Hall, (corner Ngaio Street & Rawhiti Avenue)",13,24,3,40,3
Matangi,"Matangi School, Room 4, 599 Matangi Road",10,11,1,22,3
Morrinsville,"David Street School, 45 David Street",11,11,4,26,3
,"Kai a Te Mata Marae, 7 Kerone Road",15,23,1,39,2
,"Morrinsville Intermediate School Hall, 24 Elizabeth Avenue, entrance off Coronation Road",2,10,0,12,2
,"Morrinsville Rotary Community Centre, 45 Canada Street",26,21,9,56,3
,"Tatuanui School, 4513 Whakahongi Road",4,4,3,11,1
