Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tokerau 70,Candidate Vote Details
,,"DAVIS, Kelvin Glen","HERBERT, Maki","KAPA-KINGI, Mariameno","LYNDON, Hūhana","TOAUTU, Paturiri",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland Central
,"Whangārei Club Inc. Hall, 18 Rust Avenue",63,5,59,39,4,170,6

Voting Places
Auckland Central
Claris,"Aotea Community Art Gallery, Schoolmaster's House, 80 Hector Sanderson Road",2,0,3,2,0,7,1
Great Barrier Island,"Okiwi School, 1606-1608 Aotea Road",9,0,3,2,0,14,0
East Coast Bays
Albany,"Albany Community Hall, (corner Albany Highway & Library Lane)",0,0,5,1,0,6,0
,"Albany Community Hub, 575 Albany Highway",4,1,2,3,1,11,2
,"Albany Primary School, 6 Bass Road",3,0,1,2,0,6,0
,"Pinehurst School, 75 Bush Road",4,0,3,0,0,7,1
,"Westfield Mall, Centre Court, 219 Don McKinnon Drive",3,1,7,1,2,14,0
,"Westfield Mall, near Kmart, 219 Don McKinnon Drive",5,2,10,1,0,18,2
Browns Bay,"Browns Bay School, 4 Masterton Road",2,0,3,0,1,6,1
,"Heart of the Bays, 2 Glen Road",3,0,5,3,0,11,0
,"St Anne's Hall, 1 Glencoe Road",5,1,4,6,1,17,0
Long Bay,"Long Bay College, 20 Ashley Avenue",2,2,3,4,0,11,0
Mairangi Bay,"Rangitoto College, 564 East Coast Road",3,0,3,2,0,8,1
,"Windsor Park Baptist Church, 550 East Coast Road",1,1,4,2,0,8,0
Northcross,"Sherwood Primary School, 40 Sartors Avenue",2,1,3,1,1,8,1
Oteha,"Oteha Valley School, 2 Medallion Drive",2,0,3,1,0,6,0
Torbay,"Glamorgan School, 145 Glamorgan Drive",2,0,4,3,0,9,0
,"St Mary by the Sea Church, 168 Deep Creek Road",5,1,5,3,1,15,0
,"Torbay School, 60 Deep Creek Road",2,1,3,2,0,8,0
Kaipara ki Mahurangi
Helensville,"Magnify Church, 118 Commercial Road",15,6,30,10,1,62,2
Herald Island,"Herald Island Community Hall, 44A Ferry Parade",4,0,2,1,0,7,1
Huapai,"Matua Ngaru School Hall, 47 Gilbransen Road",3,1,2,4,2,12,1
,"St Patrick's Church, 380 Main Road",3,2,9,1,0,15,2
Kaukapakapa,"Kaukapakapa Memorial Hall, 947 Kaipara Coast Highway",7,3,7,4,1,22,0
Kumeū,"Huapai District School Hall, 40 Station Road",4,2,0,1,0,7,0
,"Kumeū Community Centre, 35 Access Road",9,2,4,5,0,20,1
Leigh,"Leigh School, 22 Hauraki Road",6,0,6,2,0,14,0
Milldale,"Ahutoetoe School, Ruxton Road",2,1,6,2,0,11,0
Muriwai,"The Surf Club at Muriwai, 100 Jack Butt Lane",4,1,2,1,1,9,1
Parakai,"River Valley Baptist Church, 1 Fordyce Road",12,5,5,3,1,26,0
Pūhoi,"Pūhoi Fire Station, 52 Ahuroa Road",3,1,2,0,0,6,1
Riverhead,"Riverhead School Hall, 21 School Road",7,1,11,5,1,25,0
Snells Beach,"Mahurangi East Tennis Club, 296 Mahurangi East Road",3,1,7,4,0,15,1
South Head,"Waioneke School, 1979 South Head Road",3,0,5,4,0,12,0
Taupaki,"Taupaki School Hall, 14 Cottle Road",3,0,4,1,0,8,0
Te Hana,"Te Hana Te Ao Marama Māori Cultural Centre, 311 State Highway 1",2,1,6,0,1,10,0
Waimauku,"Waimauku War Memorial Hall, 24 Waimauku Station Road",11,2,6,8,2,29,3
Warkworth,"Mahurangi College Hall Foyer, 2 Woodcocks Road",2,2,2,2,0,8,1
,"PAK'nSAVE Warkworth, Hudson Road (corner State Highway 1)",9,2,2,2,0,15,2
,"Warkworth Masonic Hall, 3 Baxter Street",9,4,6,2,4,25,2
Wellsford,"Wellsford District Community Centre, 1 Matheson Road",7,7,16,7,6,43,1
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",3,3,7,3,1,17,0
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",18,2,22,6,4,52,0
Whenuapai,"Whenuapai School Hall, 14 Airport Road",8,0,9,0,0,17,0
Kelston
Glendene,"Church Unlimited, Auditorium 2, 3 Te Atatū Road",4,0,6,2,0,12,0
Glen Eden,"Te Kura Kaupapa Māori o Hoani Waititi Marae, Whare Kowhanga, 441 West Coast Road",8,1,11,2,0,22,0
Henderson,"Hub West, Rua Back Room, 29 Corban Avenue",15,1,9,2,1,28,1
New Lynn
Waitākere,"Waitākere Domain Hall, 13 Bethells Road",5,3,5,2,1,16,0
North Shore
Bayswater,"Bayswater Primary School, 181 Bayswater Avenue",13,3,6,6,3,31,0
Belmont,"Belmont Intermediate School, Gate 2, 10 Winscombe Street",3,0,0,5,0,8,0
Devonport,"Devonport Community House, 32 Clarence Street",3,0,4,1,0,8,1
,"North Shore Rugby Club, Cambridge Terrace",8,0,0,2,0,10,0
Forrest Hill,"Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",6,1,3,0,0,10,0
Hauraki,"Hauraki Primary School, 82 Jutland Road",4,2,5,1,0,12,0
,"Takapuna Bible Chapel Hall, 13 Jutland Road",6,1,2,3,0,12,0
Mairangi Bay,"Mairangi and Castor Bays Presbyterian Church Hall, 10 Penzance Road",2,0,3,1,0,6,0
Milford,"Milford Primary School, 34 Shakespeare Road",9,0,0,2,0,11,0
,"Milford Shopping Centre, 24 Milford Road",7,1,7,4,0,19,1
,"North Shore Hospital, Main Entrance Foyer, Shakespeare Road",3,1,3,0,0,7,0
Narrow Neck,"Vauxhall Primary School, Morrison Avenue",5,0,3,1,1,10,0
Stanley Bay,"Stanley Bay Primary School, 15 Russell Street",2,2,1,1,0,6,0
Sunnynook,"Sunnynook Baptist Church, 138 Sunnynook Road",11,1,9,1,1,23,1
Takapuna,"Shore City Shopping Centre, (corner Lake Road & Anzac Avenue)",8,1,4,2,0,15,0
Northcote
Beach Haven,"Beach Haven Primary School, 50 Tramway Road",13,1,7,1,0,22,0
,"Maria Assumpta Parish Hall, 198 Beach Haven Road",11,2,7,2,2,24,0
,"The Beach Haven Hall, 336 Rangatira Road",16,2,11,7,1,37,0
Birkdale,"Birkdale Intermediate School, 200 Birkdale Road",19,2,16,5,1,43,0
,"Birkdale North School, 213 Birkdale Road",4,1,11,4,0,20,1
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",3,1,2,0,0,6,0
,"Verran Primary School, 136 Verran Road",4,0,3,1,0,8,0
Birkenhead,"Birkenhead Primary School, 77 Mokoia Road",1,2,2,2,0,7,1
,"Chelsea Primary School, 2 Onetaunga Road",4,0,1,1,0,6,0
,"Highbury Mall, Shop T16, diagonally across from Countdown, 1 Cnr Highbury Bypass & Birkenhead Avenue",7,1,5,6,0,19,0
,"Onewa Christian Community Hall, 172 Hinemoa Street",0,1,3,2,0,6,0
Glenfield,"Glenfield Mall, Level 3, adjacent to Cotton On, (corner Glenfield Road & Downing Street)",7,4,19,5,0,35,0
,"Glenfield Primary School, 101 Chivalry Road",1,1,5,5,0,12,0
,"Marlborough Primary School, 4 Wykeham Place",4,0,3,5,0,12,0
,"Windy Ridge School, 54 Seaview Road",3,0,3,5,1,12,0
Northcote,"Northcote Citizens Centre Hall, 1 Ernie Mays Street (corner Ernie Mays Street & College Road)",3,0,6,6,0,15,0
,"Northcote Intermediate, 145 Lake Road",6,2,2,1,0,11,0
,"Northcote Primary School, 2 Lake Road (corner Onewa Road & Lake Road)",2,1,4,1,0,8,1
,"Sunnybrae Normal School, 36 Sunnybrae Road",2,0,6,2,0,10,1
,"Willow Park School, 13 Compton Street",9,4,5,3,1,22,0
Northland
Ahipara,"Ahipara School, 250 Ahipara Road",53,8,23,11,1,96,1
Arapohue,"Northern Wairoa A & P Hall, 3338 Mititai Road",3,0,3,1,0,7,0
Awanui,"Awanui School, 172 Far North Road (State Highway 1)",34,7,29,4,1,75,3
Broadwood,"Broadwood Area School, 1041 Broadwood Road",3,4,4,2,0,13,1
Coopers Beach,"St John Ambulance Hall, 7 St Johns Road",19,11,27,4,0,61,2
Dargaville,"Dargaville Baptist Church Hall, 187 Victoria Street",30,3,33,8,1,75,4
,"Dargaville High School, 57 Plunket Street",5,2,10,2,0,19,1
,"Holy Trinity Anglican Parish Hall, 58 Hokianga Road",17,4,33,8,1,63,1
Herekino,"Herekino School, 2525 Kaitaia-Awaroa Road",22,5,16,8,1,52,0
Horeke,"Horeke School, 2230 Horeke Road",31,5,15,4,0,55,1
Hūkerenui,"Hūkerenui Community Hall, 9 Domain Road",5,2,4,2,0,13,0
Kaeo,"Kaeo Primary School Hall, 4139 State Highway 10",6,3,8,3,0,20,0
,"Whangaroa Memorial Hall, Leigh Street (State Highway 10)",21,2,26,11,2,62,2
Kaihu,"Kaihu Hall, 43 Kaihu Wood Road",4,3,6,1,1,15,0
Kaikohe,"Kaikohe Baptist Church, 32 Broadway",49,12,38,12,1,112,3
,"Kaikohe East School, 36 Mangakahia Road",10,2,8,2,0,22,0
