Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Hauāuru 69,Candidate Vote Details
,,"HIPANGO, Harete Makere","NGAREWA-PACKER, Debbie Anne","PEKE, Soraya Waiata","WINIATA, Paris James",Total Valid Candidate Votes,Informal Candidate Votes
,"West Baptist Church, 144 South Road",1,20,4,0,25,0
Strandon,"Holy Trinity Anglican Church Hall, 12 Henui Street",1,10,1,2,14,0
Taken in New Plymouth,"Care Homes, Team 1",3,10,7,1,21,0
Waitara,"North Taranaki Sports & Recreation Inc, Clifton Park, 17 Princess Street",3,23,5,1,32,0
,"Waitara Library and Service Centre, 15A Queen Street",10,159,57,6,232,7
,"Waitara War Memorial Hall, Memorial Place",1,59,37,2,99,4
Welbourn,"Western Institute of Technology, Te Pūkenga, Te Kauta Cafeteria, B Block, 20 Bell Street",2,15,1,1,19,0
Westown,"St Chad's Anglican Church, 12 Omata Road",3,32,8,4,47,2
Palmerston North
Highbury,"St Michael's Church Hall, 52 Pembroke Street",3,215,64,3,285,16
Palmerston North Central,"Palmerston North Bridge Club, 3 Cook Street (corner Cook Street & Cuba Street)",9,53,36,1,99,1
,"Te Manawa Museum, 326 Main Street",13,162,35,3,213,0
,"The Plaza Shopping Mall, Centre Court, 84 The Square",19,209,65,6,299,5
,"The Salvation Army Hall, 431 Church Street",5,53,29,1,88,1
Taken in Palmerston North,"Hospital and Care Homes, Team 1",1,6,4,1,12,1
Westbrook,"Pasifika Community Centre, Bill Brown Park, 21 Havelock Avenue",0,9,4,1,14,2
West End,"The Warehouse Palmerston North, 171 Church Street",17,275,107,10,409,5
Rangitīkei
Ashhurst,"River Church, 131 Cambridge Avenue",5,36,10,1,52,1
Bulls,"Clifton School, 3 Clifton Street",3,3,2,1,9,0
,"Te Matapihi Community Centre, 4 Criterion Street",5,26,13,1,45,1
Feilding,"Feilding Civic Centre, 84 Aorangi Street",27,207,95,9,338,12
,"Manchester Street School, 160 Manchester Street",0,10,3,0,13,0
Linton,"Linton Camp School, Puttick Road",4,12,2,0,18,0
Marton,"Marton RSA & Citizens Memorial Hall, 397 Wellington Road",0,18,10,1,29,0
,"St Andrew's Presbyterian Church Hall, 226 Broadway",11,42,27,2,82,5
Ohakune,"Ohakune Council Chambers, 37 Ayr Street",4,65,37,2,108,3
,"Te Pae Tata Community Hub, 43A Ruapehu Road",0,5,2,0,7,0
Raetihi,"Raetihi Primary School, 24 Grey Street",0,13,18,1,32,3
Rātana,"Whare Kura Morehu ō Ratana, Kiatere Street",0,22,27,0,49,1
Shannon,"Shannon Memorial Hall, 8 Grey Street",4,21,16,1,42,0
Summerhill,"Summerhill Shopping Centre, Hilltop, 194 Ruapehu Drive",8,55,14,2,79,4
Taihape,"St David's Church, 19 Huia Street",11,69,42,14,136,1
