Party and Electorate Candidate Votes Recorded at each Voting Place
Tāmaki Makaurau 68,Candidate Vote Details
,,"HENARE, Peeni Ereatara Gladwyn","KEMP, Takutai Tarsh","TAMAKI, Hannah Radclavina","TANA, Darleen","TE HAU, Te Hinurewa Ngahiwi Tame Kawe",Total Valid Candidate Votes,Informal Candidate Votes
Mt Albert,"Mount Albert Presbyterian Church Hall, 14 Mount Albert Road",20,15,1,7,4,47,2
,"UNITEC, Te Puna, Building 180, 139 Carrington Road",6,10,0,5,1,22,0
,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",112,105,2,40,16,275,2
Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",44,34,0,15,7,100,2
Western Springs,"Greek Community and Orthodox Parish of Auckland, 106-108 Western Springs Road",8,16,2,4,2,32,0
Mt Roskill
Blockhouse Bay,"Blockhouse Bay Community Church, 76 Dundale Avenue",15,6,0,1,2,24,1
Lynfield,"Lynfield Community Church, 35 The Avenue",10,3,0,5,1,19,1
Mt Roskill,"Mt Roskill War Memorial Hall, Anzac Room, 13 May Road",43,37,4,15,4,103,1
,"St Therese Catholic Church, 463 Mount Albert Road",8,11,1,7,0,27,0
,"Wesley Community Centre, Tarapunga Room, 740 Sandringham Road Extension",36,25,1,9,6,77,0
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mount Albert Road",24,34,3,11,4,76,0
Māngere
Favona,"Free Church of Tonga - Mounga 'Olive, 47 Favona Road",5,3,0,0,0,8,0
Ihumatao,"Makaurau Marae, 8 Ruaiti Road",7,47,1,0,0,55,1
Māngere,"Al Madinah School, 8 Westney Road",6,3,0,2,1,12,0
,"Māngere Arts & Events Centre, (corner Orly Avenue & Bader Drive)",65,44,8,8,1,126,3
,"PAK'nSAVE Māngere, (corner Bader Drive & Orly Avenue)",126,103,11,16,4,260,6
,"Papatūānuku Kōkiri Marae, 141R Robertson Road",62,55,5,11,1,134,3
Māngere Airport Oaks,"Auckland International Airport Terminal - AIRSIDE, Ray Emery Drive",20,11,0,4,9,44,0
,"The Warehouse Auckland Airport, 1 John Goulter Drive",71,45,2,12,5,135,3
Māngere Bridge,"Māngere Memorial Hall, Domain Road",52,56,5,15,6,134,1
,"St Anthony Catholic Parish Hall, 20 Kirkbride Road",14,11,0,6,0,31,0
,"St James Anglican Church Hall, 27 Church Road",60,36,1,13,5,115,4
Māngere East,"Metro Theatre, 362 Massey Road",79,45,4,16,3,147,4
,"St Therese Catholic Parish Hall, 10 Wickman Way",24,19,0,4,0,47,0
New Lynn
Avondale,"Avondale Community Centre, 99 Rosebank Road",68,49,6,12,6,141,0
,"St Jude's Anglican Church Hall, 27 St Jude Street",5,7,0,1,3,16,0
Blockhouse Bay,"Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",23,10,1,9,8,51,0
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",109,94,5,50,16,274,6
,"Pan African Community Centre, 3131 Great North Road",9,11,1,2,0,23,0
,"Suburbs Rugby Football Club, 130 Portage Road",13,21,2,9,5,50,3
,"The Salvation Army Church Hall, 32 Delta Avenue",13,16,0,4,1,34,1
Titirangi,"Titirangi War Memorial Hall, 500 South Titirangi Road",22,23,1,12,6,64,0
Pakuranga
Highland Park,"Fencible AFC Clubrooms, William Green Domain, 590 Pakuranga Road",11,6,2,3,4,26,0
,"Highland Park Library, 16 Highland Park Drive",21,27,1,9,10,68,2
Howick,"Howick Library, Fencible Room, 25 Uxbridge Road",23,19,2,7,17,68,0
Pakuranga,"Pakuranga Plaza, opposite Bargain Chemist, 10 Aylesbury Street",63,58,4,25,12,162,1
,"Trinity Methodist Church Hall, 474 Pakuranga Road",10,5,1,6,5,27,1
Pakuranga Heights,"EFKS Pakuranga, CCC of Samoa, 229 Ti Rakau Drive",6,6,2,4,3,21,1
Panmure-Ōtāhuhu
Mt Wellington,"Salvation Army Community Centre, 18 Allright Place",14,18,5,5,3,45,2
Ōtāhuhu,"Ōtāhuhu Library, 28 Mason Avenue",53,43,5,11,5,117,1
,"Ōtāhuhu Town Hall Community Centre, 10 High Street",37,21,1,8,0,67,1
Ōtara,"MIT Ōtara Campus, Pasifika Community Centre, Gate 12, 53 Ōtara Road",9,16,0,1,1,27,0
,"Ōtara Library, (corner East Tamaki Road & Bairds Road)",89,56,4,10,1,160,3
,"Te Puke ō Tara Community Hall, 20 Newbury Street",48,29,9,14,1,101,3
