Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tonga 71,Candidate Vote Details
,,"FERRIS, Tākuta","FUIMAONO KARENA, Geoffrey Wayne Puhi","ROBIN, Rebecca Rae","TIRIKATENE, Rino",Total Valid Candidate Votes,Informal Candidate Votes
Caversham,"Caversham Presbyterian Church, St Andrews Room, 61 Thorn Street",18,0,5,30,53,2
,"Pacific Trust Otago, 350 South Road",4,0,1,5,10,0
Green Island,"Green Island Civic Hall, 5 Howden Street",14,4,9,28,55,1
Milburn,"Otago Correctional Facility Milton, 62 Narrowdale Road",1,0,4,4,9,0
Milton,"Milton Coronation Hall, Chamber Room, 93 Union Street",10,1,2,22,35,4
Mosgiel,"Former The Warehouse Building, 161 Gordon Road",20,4,16,37,77,3
Outram,"Outram War Memorial Hall, 41 Holyhead Street",5,0,4,3,12,4
South Dunedin,"Nations Church, 334 King Edward Street",21,2,9,45,77,3
,"The Warehouse South Dunedin, 64 Hillside Road",62,6,14,90,172,9
Waimakariri
Belfast,"Belfast Community Centre, 710 Main North Road, Sheldon Park",6,0,0,4,10,0
,"Belfast Salvation Army, 794 Main North Road",15,2,1,21,39,0
Kaiapoi,"Kaiapoi Community Centre, Mill Room, 24 Sewell Street",4,2,1,14,21,3
,"Kaiapoi Library and Service Centre, 176 Williams Street",54,8,15,61,138,3
Oxford,"Oxford Jaycee's Hall, 56 Main Street",1,0,0,5,6,1
Rangiora,"McAlpine Pipe Band Hall, next to New World Rangiora, 8A Ashley Street",35,5,12,41,93,2
,"Rangiora Public Library, 141 Percival Street",18,3,6,40,67,0
Woodend,"Woodend Community Centre, 6A School Road",12,2,5,17,36,4
Waitaki
Cromwell,"Cromwell Presbyterian Church, 10 Elspeth Street",9,4,5,17,35,3
Geraldine,"The Academy of Performance & Arts, 79 Talbot Street",3,1,3,2,9,1
Oamaru,"Oamaru Central, former Noel Leeming Building, 145 Thames St",20,2,8,34,64,3
,"Oamaru Tongan Methodist Parish, Wesley Centennial Hall, 22 Eden Street",0,0,3,7,10,0
,"St Mary's Anglican Church Hall, 410 Thames Highway",10,1,4,8,23,1
Palmerston,"Waihemo Service Centre, 54 Tiverton Street",3,1,0,2,6,0
Ranfurly,"Ranfurly Public Hall, 3 Northland Street",2,0,1,3,6,0
Twizel,"Twizel Events Centre, Market Place",5,1,1,2,9,0
Waimate,"Waimate Event Centre, 15 Paul Street",3,1,2,17,23,0
Wānaka,"Lake Wānaka Centre, Armstrong Room, 89 Ardmore Street",30,1,9,15,55,1
,"Te Kura O Take Kārara, 3 Grace Wright Drive, Three Parks",3,1,0,2,6,0
Wellington Central
Aro Valley,"Aro Valley Community Centre Hub, 48 Aro Street",21,0,1,6,28,2
,"Central Park Flats, Community Recreation Room, 21 Brooklyn Road",4,1,1,7,13,2
Brooklyn,"Brooklyn Community Centre, 18 Harrison Street",21,0,2,13,36,0
Karori,"Karori Community Centre, Youth Centre Room, 7 Beauchamp Street",39,3,3,18,63,0
Kelburn,"Victoria University, The Hub, Kelburn Parade",127,0,4,21,152,0
Mt Cook,"Massey University, Block 5, Level H, Wallace Street, access from Entrance A",27,0,0,8,35,0
Northland,"St Anne's Anglican Church, (corner Northland Road & Randwick Road)",8,0,1,5,14,0
Te Aro,"Voting Team - DCM and Soup Kitchen, 2 Lukes Lane",3,0,0,6,9,0
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",87,0,6,49,142,1
,"He Herenga Kura, Level 4, 120 Featherston Street, access from Waring Taylor Street",20,0,2,6,28,0
,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",168,2,12,77,259,1
,"St John's in the City, Church Centre Hall, (corner Dixon Street & Willis Street)",20,1,0,9,30,1
,"Sustainability Trust Wellington, 2 Forresters Lane",19,0,1,8,28,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",159,0,6,71,236,1
,"Wellington Museum, Von Kohorn Room, Queens Wharf, 3 Jervois Quay",14,0,0,5,19,0
