Party and Electorate Candidate Votes Recorded at each Voting Place
Waikato 56,Candidate Vote Details
,,"DORNAN, Lois Emere","HUSBAND, Stuart Thomas","OWEN, Megan","TOKO, Jamie","VAN DE MOLEN, Timothy John",Total Valid Candidate Votes,Informal Candidate Votes
,"Te Aroha St Joseph's Parish Hall, 224 Whittaker Street",8,97,27,219,350,701,20
Te Awamutu,"Te Awamutu Scout Hall, 11 Scout Lane",1,2,3,3,16,25,1
Te Kauwhata,"St Johns Ambulance Meeting Room, 4 Baird Avenue",0,9,1,18,115,143,1
Te Rapa,"Te Awa, The Base, Centre Court, Maahanga Drive",12,37,34,148,545,776,8

Voting Places
Cambridge,"Cambridge East School, (corner Bowen Street & Williams Street)",0,4,3,17,50,74,1
,"Cambridge High School, 25 Swayne Road",1,6,9,23,96,135,0
,"Cambridge Middle School, (corner Clare Street & Grey Street)",3,7,4,9,58,81,1
,"Cambridge Primary School, 3 Wilson Street",0,3,6,9,43,61,1
,"Cambridge Town Hall, Victoria Room, (corner Queen Street & Victoria Street)",0,12,7,25,97,141,4
,"Leamington Primary School, (corner Lamb Street & Scott Street)",0,0,0,1,8,9,1
Chartwell,"Chartwell Shopping Centre, Level 1, 201 Hukanui Road",0,1,2,7,26,36,0
